לְהִשְׁתַּקֵּף	lehiʃtaˈkef
לחנות	laxaˈnot
להתחשל	lehitxaˈʃel
בּוֹדֵד	boˈded
תַּרְכִּיב	tarˈkiv
שלט	ʃaˈlat
טֵרֵם	ˈterem
לְשָׁרֵשׁ	leʃaˈreʃ
דַפְדֵפֵת	dafˈdefet
לשוח	laˈʃuax
הִזְדַּהוּת	hizdaˈhut
מותן	ˈmoten
שניה	ʃniˈja
טרחן	tarˈxan
צְדַקַה	tsdaˈka
קוּפְסַה	kufˈsa
לנהוק	linˈhok
בדימוס	bediˈmos
מגדלור	migdaˈlor
אירופה	eiˈropa
אישור	iˈʃur
להסתכם	lehistaˈkem
פְּרָעוֹת	praˈʔot
להתחבר	lehitxaˈber
הַצְלַחַה	hatslaˈxa
אַזִיק	aˈzik
מַדִּים	maˈdim
אחור	aˈxor
רחב	raˈxav
קִמְעוֹנָאוּת	kimʔonaˈʔut
טִיפּוּס	tiˈpus
רומח	ˈromax
לציבור	latsiˈbur
הַשְׁהַיַה	haʃhaˈja
רגע	reˈga
התייעצות	hitjaʔatˈsut
פרש	ˈpereʃ
אִגְרוּף	igˈruf
שׁוֹרֶשׁ	ˈʃoreʃ
חַתַךְ	xaˈtax
להשתרג	lehistaˈreg
לְהִתְגַרוֹת	lehitgaˈrot
להתנשא	lehitnaˈse
עיתוי	iˈtuj
סוֹטֶה	soˈte
שָׁקוּף	ʃaˈkuf
גֶּבַע	ˈgeva
לקח	ˈlekax
אוֹבְדַן	ovˈdan
הַעַבוֹדַה	haʔavoˈda
לְצַייֵץ	letsaˈjets
חכה	xaˈka
בָּלוֹן	baˈlon
לְהִיטָּרֵק	lehitaˈrek
הַקְשָׁבָה	hakʃaˈva
לְהִיכָּרֵךְ	lehikaˈrex
למקש	lemaˈkeʃ
בְּתוֹךְ	beˈtox
לִנְסוֹךְ	linˈsox
נִבְזֵה	nivˈze
לְהִישַׁדֵד	lehiʃaˈded
לִיסוֹד	liˈsod
להקיץ	lehaˈkits
עיבוד	iˈbud
לְנַסוֹת	lenaˈsot
חָסוּת	xaˈsut
כִּינוּן	kiˈnun
נְשִׁיקָה	neʃiˈka
מְקַרְקְעִין	mekarkeˈʔin
לְהִידָּחֵק	lehidaˈxek
פשיעה	pʃiˈʔa
הַגְרַלַה	hagraˈla
נתר	ˈneter
לְהִתְכַּדֵר	lehitkaˈder
מְמוּגָּז	memuˈgaz
לְנַפֵּץ	lenaˈpets
פּוּנְדְּקָאִית	pundekaˈʔit
להיבקע	lehibaˈkea
תַּמְרִיץ	tamˈrits
כַּרִית	kaˈrit
צבע	tsaˈba
שלהם	ʃelaˈhem
פרוש	paˈruʃ
נבך	ˈnebex
שיבה	ʃiˈva
תאגיד	taʔaˈgid
מכללה	mixlaˈla
נֶפַח	ˈnefax
לְהִתְפַּצֵּל	lehitpatˈsel
לְהִיכַּבֵשׁ	lehikaˈveʃ
דְּרִישָׁה	driˈʃa
קַלְדָנוּת	kaldaˈnut
לִגְרוֹב	ligˈrov
דַלוּת	daˈlut
נוּ	ˈnu
הסבר	hesˈber
לְהִתְמָרֵד	lehitmaˈred
לְייַתֵר	lejaˈter
חסה	xaˈsa
התאגדות	hitʔagˈdut
ממילא	miˈmela
מעילה	meʔiˈla
לרצד	leratˈsed
בילבול	bilˈbul
חַתוּנַה	xatuˈna
תְבִיעַה	tviˈʔa
תַּאֲנִייָּה	taʔaniˈja
מִכְחוֹל	mixˈxol
עֵלֵם	ˈelem
תסביך	tasˈbix
שְׁטְרוּדֵל	ʃtˈrudel
דַייַן	daˈjan
קֵץ	ˈkets
תְכוּלַה	txuˈla
לְהִיגָּלוֹת	lehigaˈlot
להיפרם	lehipaˈrem
דוֹרֵס	doˈres
טיסה	tiˈsa
תבערה	tavʔeˈra
לנקד	lenaˈked
מטחנה	matxeˈna
הִתְאַגְדוּת	hitʔagˈdut
להיכרת	lehikaˈret
חֵבֵל	ˈxevel
ללהט	lelaˈhet
הַדָּחָה	hadaˈxa
מפיק	meˈfik
חֹסֶר	ˈxoser
לְפָרֵךְ	lefaˈrex
תִנְעוֹלֵת	tinˈʔolet
להתקבץ	lehitkaˈbets
לְשַׂגְשֵׂג	lesagˈseg
נָתִיב	naˈtiv
תְּהִילּוֹת	tehiˈlot
מַעַמַת	maʔaˈmat
בּוּרְסָה	burˈsa
קַנַאי	kaˈnaj
לַעַקוֹץ	laʔaˈkots
הַבְטָחָה	havtaˈxa
שַׁחְמָט	ʃaxˈmat
לְתַעֵד	letaˈʔed
בגרות	bagˈrut
דוּבּוֹן	duˈbon
הָמוֹן	haˈmon
לְהַעַלוֹת	lehaʔaˈlot
התכתבות	hitkatˈvut
תרכיז	tarˈkiz
דהוי	daˈhuj
לחסר	lexaˈser
סְמִיכַה	smiˈxa
הִתְעַטְשׁוּת	hitʔatˈʃut
בִּיטּוּל	biˈtul
סַף	ˈsaf
משאף	maʃˈʔef
להחזיק	lehaxˈzik
צפוי	tsaˈfuj
לְהֵיאַגֵר	leheʔaˈger
קְרִיסָה	kriˈsa
להרצות	lehartˈsot
לְהִתְנַחֵם	lehitnaˈxem
נווד	naˈvad
פֵּאָה	peˈʔa
רַעַל	ˈraʔal
להפשיל	lehafˈʃil
הֶכְשֵׁר	hexˈʃer
לרבד	leraˈbed
התאיידות	hitʔajˈdut
כְּפַפַה	kfaˈfa
לקנן	lekaˈnen
כִּלְיַה	kilˈja
שוויון	ʃivˈjon
דּוּדּ	ˈdud
חלון	xaˈlon
הפליה	haflaˈja
הַנַאַה	hanaˈʔa
שֵׂכֶל	ˈsexel
להתגייר	lehitgaˈjer
מֵחְקַר	mexˈkar
רֵסֵק	ˈresek
אומנם	omˈnam
לְהַדֵּר	lehaˈder
רֵבַע	ˈreva
אוֹפְייָן	ofˈjan
שְׂמֹאלָה	sˈmola
לְפַעֵם	lefaˈʔem
לְהִתְקַדֵם	lehitkaˈdem
לְנַדְנֵד	lenadˈned
אמיד	aˈmid
הביל	haˈvil
חפץ	ˈxefets
הַאַרֵץ	haˈʔarets
רעילות	reʔiˈlut
לָחוּד	laˈxud
שֵׁלֵט	ˈʃelet
תְּפִירָה	tfiˈra
רֵסֵן	ˈresen
לחלל	lexaˈlel
מְרוּבַּה	meruˈba
מוּצְלָח	mutsˈlax
לְהִתְגַּעֵשׁ	lehitgaˈʔeʃ
הִילּוּךְ	hiˈlux
לַעַיוֹן	laʔaˈjon
הַנְצָחָה	hantsaˈxa
משגל	miʃˈgal
לנטר	lenaˈter
הַאַבַסַה	haʔavaˈsa
עַתִידוֹת	atiˈdot
לְצַנְזֵר	letsanˈzer
נתרן	natˈran
גַב	ˈgav
לְהִזְדַנֵב	lehizdaˈnev
לְרַעְנֵן	leraʔaˈnen
פיענוח	piʔaˈnuax
חַווָּה	xaˈva
לְהִתְמַקֵּם	lehitmaˈkem
בִּמְיוּחַד	bimjuˈxad
לְהִתְטַשְׁטֵשׁ	lehittaʃˈteʃ
עוֹרְמָה	orˈma
לְהִתְקַדֵּר	lehitkaˈder
לִשְׁתּוֹק	liʃˈtok
לִיקוֹד	liˈkod
לְהִתְחַמֵּם	lehitxaˈmem
עוֹלַמִי	olaˈmi
צִינִי	tˈsini
תַּצְלוּם	tatsˈlum
רַעַד	ˈraʔad
גֵירַעוֹן	geraˈʔon
שַׁחַר	ˈʃaxar
לִירוֹא	liˈro
לְמַשֵׁשׁ	lemaˈʃeʃ
שזוף	ʃaˈzuf
לְהִיגָּרֵעַ	lehigaˈrea
לְטַווֵּחַ	letaˈveax
ממשלת	memˈʃelet
הִיקָּלְטוּת	hikalˈtut
לְהִתְעַשֵּׁר	lehitʔaˈʃer
לארע	leʔaˈrea
הַקְרַבַה	hakraˈva
מַעַרִיכִי	maʔariˈxi
כרס	kaˈres
תענית	taʔaˈnit
סְדָר	sˈdar
להבהיק	lehavˈhik
להתלהק	lehitlaˈhek
לנשך	lenaˈʃex
שיקלול	ʃikˈlul
לְהִתְחָרֵז	lehitxaˈrez
מדויק	meduˈjak
שִׁיּוּט	ʃiˈjut
להתבאר	lehitbaˈʔer
לְהֵיחָלֵק	lehexaˈlek
לֶאֱפוֹז	leʔeˈfoz
לקצוב	liktˈsov
להיוותר	lehivaˈter
מוֹשִׁיעַ	moˈʃia
מֵשִׁי	ˈmeʃi
לשרות	lisˈrot
להתחתן	lehitxaˈten
מַמְלָכָה	mamlaˈxa
לצנוח	litsˈnoax
נבג	ˈneveg
לְתוֹפֵף	letoˈfef
לוֹעַזִי	loʔaˈzi
תושבי	toʃaˈvej
מִסְרוֹן	misˈron
עפיפון	afiˈfon
לְהַצְמִיחַ	lehatsˈmiax
אוגדה	ugˈda
בִּזְרִיזוּת	bizriˈzut
תּוֹמֵךְ	toˈmex
הִידַבְרוּת	hidavˈrut
לְהַפְלִיץ	lehafˈlits
מְשׁוּעְמַם	meʃuʔaˈmam
לְתַמְלֵל	letamˈlel
נוהל	ˈnohal
לְהִיקָּטֵעַ	lehikaˈtea
צִינַה	tsiˈna
נִיצּוּחַ	nitˈsuax
להכניע	lehaxˈnia
מַשְׁמַעוּת	maʃmaˈʔut
לְהַעִיק	lehaˈʔik
מִילוּט	miˈlut
כפייה	kfiˈja
לְהַשְׁגִּיחַ	lehaʃˈgiax
לְפַלֵּל	lefaˈlel
שִׁלְשׁוֹם	ʃilˈʃom
גפני	gafˈni
לְהִתְעַרוֹת	lehitʔaˈrot
בְּסֵדֶר	beˈseder
לִפְרוֹת	lifˈrot
בְּמַעַרֵכֵת	bemaʔaˈrexet
לפוץ	laˈfuts
אבדון	avaˈdon
לְבָרֵר	levaˈrer
מידור	miˈdur
מַעֲקֶה	maʔaˈke
בחור	baˈxur
לְהִתְנַצֵר	lehitnatˈser
מַמְלַכְתִּי	mamlaxˈti
חֵירוּת	xeˈrut
מְקוּוָּן	mekuˈvan
לְפַעְנֵחַ	lefaʔaˈneax
חוֹפֵן	ˈxofen
לְקַשְׁקֵשׁ	lekaʃˈkeʃ
לְהָעִיד	lehaˈʔid
חִיסָּיוֹן	xisaˈjon
לעמום	laʔaˈmom
לעטות	laʔaˈtot
תְעוּפַה	teʔuˈfa
טעות	taˈʔut
שַׂפַה	saˈfa
שַׁחַף	ˈʃaxaf
לְעַוּוֹת	leʔaˈvot
לְהַדִיחַ	lehaˈdiax
נטל	ˈnetel
תואר	ˈtoʔar
פִּיתַיוֹן	pitaˈjon
שְׁלִישׁ	ʃˈliʃ
הִתְנַחֲלוּת	hitnaxaˈlut
קשירות	kʃiˈrut
מַסְרֵטָה	masreˈta
לִשְׁכַּב	liʃˈkav
טיט	ˈtit
בינתיים	benˈtajim
להתכנות	lehitkaˈnot
משימה	mesiˈma
שרטוט	sirˈtut
ביאור	beˈʔur
כִּיס	ˈkis
לִדְרוֹשׁ	lidˈroʃ
להסלים	lehasˈlim
ברך	ˈberex
בול	ˈbul
בָּרֶגַע	baˈrega
לְהִינָּזֵק	lehinaˈzek
מֵימַן	meiˈman
גִּילּוּי	giˈluj
לנפות	lenaˈpot
לְהַעֲלִיל	lehaʔaˈlil
מִכְסַה	mixˈsa
לְהִישָּׁמֵט	lehiʃaˈmet
למחרת	lemoxoˈrat
צנובר	tsnoˈvar
לַצֵאת	latˈset
מֵלוֹן	meˈlon
הִתְרַשְׁמוּת	hitraʃˈmut
לְהַקְדִיחַ	lehakˈdiax
סִפְרָה	sifˈra
לצוות	letsaˈvot
הַלְשַׁנַה	halʃaˈna
דוֹפֵק	ˈdofek
לתמחר	letamˈxer
פלדה	plaˈda
מַקְדֵחַ	makˈdeax
מְצוּנַן	metsuˈnan
פִּיזוּר	piˈzur
בינוני	benoˈni
לִתְקוֹף	litˈkof
העיר	haˈʔir
חַנִיךְ	xaˈnix
לְהִסְתַדֵר	lehistaˈder
רֵיחָנִי	rexaˈni
לנטוש	linˈtoʃ
מַשִׁיחַ	maˈʃiax
לַעֲלוֹז	laʔaˈloz
נְטִילַה	netiˈla
לְלַמֵּד	lelaˈmed
לְהֵיחָבֵל	lehexaˈvel
צְנִיעוּת	tsniˈʔut
אלוף	aˈluf
אופל	ˈofel
להימהל	lehimaˈhel
תזוזה	tsuˈza
התקרבות	hitkarˈvut
אנוכיות	anoxiˈjut
מַכּוֹלֵת	maˈkolet
מחסום	maxˈsom
להסתכן	lehistaˈken
פַלְצָן	faltˈsan
סָבִיב	saˈviv
לכפור	lixˈpor
שרוצה	ʃeroˈtse
לִנְזוֹל	linˈzol
לְנַקֵד	lenaˈked
לצין	letsaˈjen
חִיווֵּר	xiˈver
גּוּף	ˈguf
חיבה	xiˈba
לֶאֱבוֹל	leʔeˈvol
מסך	maˈsax
שְׁלִילִי	ʃliˈli
אסיפה	aseˈfa
אָחוּז	aˈxuz
אַקְלִים	akˈlim
החוקה	haxuˈka
למעלה	leˈmala
מַסְגֵּר	masˈger
בַּלַם	baˈlam
מְנוּוַּל	menuˈval
להאניש	lehaʔaˈniʃ
חטיבה	xatiˈva
לְהִתְאַמֵת	lehitʔaˈmet
לַעַלוֹב	laʔaˈlov
לְהִיטַּגֵּן	lehitaˈgen
בידוד	biˈdud
לְהַכְסִיף	lehaxˈsif
הָר	ˈhar
דלק	ˈdelek
לִיאוֹת	liˈʔot
לייחד	lejaˈxed
עַמְלַה	amˈla
לייבב	lejaˈbev
נָזִיר	naˈzir
מֵאִתָּנוּ	meʔitaˈnu
לְהִתְנַשֵּׁף	lehitnaˈʃef
כינור	kiˈnor
לשגות	liʃˈgot
תַכְרִיכִים	taxriˈxim
תקווה	tikˈva
בצק	batˈsek
תֵּיאוּר	teˈʔur
חולשה	xulˈʃa
לְהִיפַּרֵעַ	lehipaˈrea
פקקת	paˈkeket
רכב	ˈrexev
גְּבוּל	gˈvul
לנער	lenaˈʔer
גפן	ˈgefen
להנץ	lehaˈnets
נִינָה	niˈna
כִּיפּוּר	kiˈpur
קִרְיַה	kirˈja
יְשׁוֹרֵת	jeˈʃoret
אֵזְרַחִי	ezraˈxi
כִּיפַּה	kiˈpa
נַא	ˈna
מִצְפֶּה	mitsˈpe
סיירת	saˈjeret
שַׁנוּן	ʃaˈnun
שַׁזוּף	ʃaˈzuf
לְהִתְמַצּוֹת	lehitmatˈsot
ערב	aˈrev
להחיות	lehaxaˈjot
להשביח	lehaʃˈbiax
מָמוּתָה	maˈmuta
הַחֻקָּה	haxuˈka
תָּפֵל	taˈfel
פָּרָשָׁה	paraˈʃa
שְׁבִיב	ʃˈviv
לְהִיתָּכֵן	lehitaˈxen
בְּרֵאשִׁית	bereˈʃit
לִבְהוֹק	livˈhok
מאתנו	meʔitaˈnu
חִיווָּרוֹן	xivaˈron
מַקַק	maˈkak
להסיר	lehaˈsir
לְהַשְׁלִים	lehaʃˈlim
הכרה	hakaˈra
מַקּוֹר	maˈkor
אִילְתוּר	ilˈtur
מסירות	mesiˈrut
לבקש	levaˈkeʃ
להלעיז	lehalˈʔiz
רֶחֶם	ˈrexem
גז	ˈgez
פרד	ˈpered
לִשְׁעוֹת	liʃˈʔot
מנשר	minˈʃar
בישול	biˈʃul
אוֹרְייָנוּת	orjaˈnut
שלג	ˈʃeleg
מיחזור	mixˈzur
תכונה	txuˈna
כיפי	keˈfi
כִּישַׁלוֹן	kiʃaˈlon
מַהוּת	maˈhut
לפברק	lefabˈrek
סנטר	sanˈter
נִפְסָד	nifˈsad
לְהִימָּחוֹת	lehimaˈxot
לֶכֶת	leˈxet
מבדוק	mivˈdok
שִׁמְשָׁה	ʃimˈʃa
לפקד	lefaˈked
למעוד	limˈʔod
לדחות	lidˈxot
לְהַצְבִּיעַ	lehatsˈbia
מוּסָר	muˈsar
אֲבִיזָר	aviˈzar
כָּךְ	ˈkax
לַעֲלוֹס	laʔaˈlos
בִּילְבּוּל	bilˈbul
פְּרֵידַה	preˈda
מְצִיאוּתִי	metsiʔuˈti
לחדש	lexaˈdeʃ
פַלְצַן	faltˈsan
נֶאֱמָן	neʔeˈman
לנדב	lenaˈdev
יוהרה	juhaˈra
שֶׁקֶר	ˈʃeker
להוביל	lehoˈvil
מְטוּגַן	metuˈgan
ניבול	niˈbul
סַפְרַן	safˈran
הוא	ˈhu
קֶרֶב	ˈkerev
רוֹבֶה	roˈve
גִילוּחַ	giˈluax
לְנַקֵּד	lenaˈked
הַתֹוכְנִית	hatoxˈnit
לְלַפֵּת	lelaˈpet
רֵיחַנִי	rexaˈni
אֵווִיל	eˈvil
לַחֲסוֹךְ	laxaˈsox
ואחר	veaˈxar
לְסַנֵף	lesaˈnef
ציור	tsiˈjur
דְבִיר	dˈvir
לְהַפְגִין	lehafˈgin
להפליג	lehafˈlig
שׁוֹבַב	ʃoˈvav
הִימַנְעוּת	himanˈʔut
להתחשבן	lehitxaʃˈben
לְהִיסַקֵר	lehisaˈker
שְׁלַל	ʃˈlal
פָּחוֹן	paˈxon
דֵרֵג	ˈdereg
בִּיטּוּי	biˈtuj
להמריד	lehamˈrid
לנצח	lenatˈseax
עצור	atˈsur
לְהִשְׁתַּלֵּחַ	lehiʃtaˈleax
מוֹסַד	moˈsad
לְהִסְתַייֵם	lehistaˈjem
התערות	hitʔaˈrut
לְנַכֵּר	lenaˈker
לבזוק	livˈzok
לְהִתְחַמֵּשׁ	lehitxaˈmeʃ
לָבוּשׁ	laˈvuʃ
השמדה	haʃmaˈda
טַייְץ	ˈtajts
לנחם	lenaˈxem
לשוף	laˈʃuf
עוז	ˈoz
לְהֵירַחֵץ	leheraˈxets
לְשַׁייֵּט	leʃaˈjet
צְמִיג	tsˈmig
תַחַזִית	taxaˈzit
הַרְחֵק	harˈxek
טְעִינַה	teʔiˈna
צִיפּוֹר	tsiˈpor
מוּצְנַע	mutsˈna
פִּיתוּי	piˈtuj
להתחלות	lehitxaˈlot
לְהִתְפַּצֵחַ	lehitpatˈseax
רַווּי	raˈvuj
מַעַטַפַה	maʔataˈfa
לְהִינָּשֵׂא	lehinaˈse
יד	ˈjad
הלאמי	haleuˈmi
מן	ˈmin
עַמְלָה	amˈla
שַׁלוֹם	ʃaˈlom
להעדיף	lehaʔaˈdif
חַלוּדַה	xaluˈda
לְהִתְפַּטֵר	lehitpaˈter
שְׁתִילַה	ʃtiˈla
צול	tˈsol
הִיסְטוֹרִי	hisˈtori
מרחק	merˈxak
לאומי	leʔuˈmi
סַסְגּוֹנִי	sasgoˈni
פַּגִיעַ	paˈgia
עיוורון	ivaˈron
מעיין	maʔaˈjan
יִיצוּר	jitˈsur
להתעות	lehatˈʔot
גַלְגִילוֹן	galgiˈlon
לְהִיצָּפוֹת	lehitsaˈfot
לְהִידָּמוֹת	lehidaˈmot
לְתַרְגֵּם	letarˈgem
קָרוֹב	kaˈrov
שלוח	ʃaˈluax
לְצֹרֵךְ	leˈtsorex
קוּפָּה	kuˈpa
עָלוֹן	aˈlon
כבש	ˈkeves
טחינה	txiˈna
גג	ˈgag
הֶיכֵּר	heˈker
תִּשְׁלוֹבֶת	tiʃˈlovet
לחלוץ	laxaˈlots
עוֹדֵף	ˈodef
אוֹמֵץ	ˈomets
יוגה	ˈjoga
להתאקלם	lehitʔakˈlem
חַשְׁמַלִי	xaʃmaˈli
לְהִתְגַשֵׁם	lehitgaˈʃem
סַייֶּרֶת	saˈjeret
קְרִיאָה	kriˈʔa
קלדנות	kaldaˈnut
לְהִתְחַבֵּק	lehitxaˈbek
מֵרְכַּבַה	merkaˈva
לִשְׂרוֹר	lisˈror
לְפַשֵּׁל	lefaˈʃel
אִיוּת	iˈjut
דִּיאֶטָה	diˈʔeta
אִיסוּף	iˈsuf
לְהַזְרִיק	lehazˈrik
סֵבֶל	ˈsevel
לְהִתְקַלֵּס	lehitkaˈles
לכת	leˈxet
פתיחה	ptiˈxa
לִשְׁחוֹת	liʃˈxot
לְחַסְפֵּס	lexasˈpes
תפריט	tafˈrit
עִיוּוּת	iˈvut
מסוגל	mesuˈgal
לצנוף	litsˈnof
לִידוֹר	liˈdor
הֵישֵׂג	heˈseg
טַייֵלֵת	taˈjelet
אוֹפִי	ˈofi
מִקְצוֹעִי	miktsoˈʔi
הַלִיךְ	haˈlix
לקפוח	likˈpoax
פַּעַר	ˈpaʔar
מעבדה	maʔabaˈda
טובה	toˈva
חֵשְׁבּוֹן	xeʃˈbon
להתיישב	lehitjaˈʃev
לצייר	letsaˈjer
לַחַרוֹת	laxaˈrot
בַּרֵקֵת	baˈreket
לְהִידַרֵס	lehidaˈres
חנות	xaˈnut
דילמה	diˈlema
לְייַשֵׁר	lejaˈʃer
להישלם	lehiʃaˈlem
שיוט	ʃiˈjut
לְהִינָּבֵא	lehinaˈve
לְהַחֲרִיף	lehaxaˈrif
חֲבִישָׁה	xaviˈʃa
שוקולד	ˈʃokolad
מִבְזַק	mivˈzak
שַׁטוּף	ʃaˈtuf
שווי	ˈʃovi
מבקשים	mevakˈʃim
מַאַמַר	maʔaˈmar
נקר	naˈkar
להגיח	lehaˈgiax
לבדח	levaˈdeax
גִּילְגּוּל	gilˈgul
לדרדר	ledarˈder
נבוב	naˈvuv
עגול	aˈgol
טַרוּד	taˈrud
שמח	saˈmeax
קְרָב	kˈrav
הֵרֵף	ˈheref
דִּישּׁוּן	diˈʃun
לְהַסְתִּיר	lehasˈtir
עָלוּב	aˈluv
הִתְעָרוּת	hitʔaˈrut
חַשְׂפָן	xasˈfan
שְׁטִיפַה	ʃtiˈfa
דָּבִיק	daˈvik
כֵּס	ˈkes
לחתך	lexaˈtex
לִהְיוֹת	lihˈjot
מִנְעַד	minˈʔad
להתנודד	lehitnoˈded
אֵלֶם	ˈelem
נְקוּדַתִי	nekudaˈti
לרומם	leroˈmem
לחשוב	laxˈʃov
לְמַגֵן	lemaˈgen
צְרָחָה	tsraˈxa
שממה	ʃmaˈma
שְׁלִילַה	ʃliˈla
שַׁיי	ˈʃaj
לַנוּעַ	laˈnua
לְהִשְׁתַּדֵּךְ	lehiʃtaˈdex
להתלחשש	lehitlaxˈʃeʃ
לְרַקֵד	leraˈked
זמיר	zaˈmir
לְנַחֵשׁ	lenaˈxeʃ
לְהִיפַּרֵשׂ	lehipaˈres
לקחת	laˈkaxat
לְהִיגַמֵל	lehigaˈmel
גַּחְמָה	gaxˈma
שלוף	ʃaˈluf
לְנַדּוֹת	lenaˈdot
להשתמד	lehiʃtaˈmed
גוּפַה	guˈfa
קֵצֵר	ˈketser
הִתְפַּשְּׁטוּת	hitpaʃˈtut
יָחִיד	jaˈxid
יֶתֶר	ˈjeter
לְהֵירָדֵף	leheraˈdef
עֵקְרוֹנִי	ekroˈni
תֵבֵל	ˈtevel
גִילְדַה	ˈgilda
כְּתִישַׁה	ktiˈʃa
שִׁיתּוּף	ʃiˈtuf
גַּג	ˈgag
לִדְווֹת	lidˈvot
לְהִשְׁתַכְשֵׁךְ	lehiʃtaxˈʃex
כולל	koˈlel
אִימוּת	iˈmut
להתמלא	lehitmaˈle
לְהִתְרַבּוֹת	lehitraˈbot
לְהַזְהִיר	lehazˈhir
קודש	ˈkodeʃ
ראשון	riˈʃon
לְהִתְעַקֵל	lehitʔaˈkel
הֲבָסָה	havaˈsa
לעשוק	laʔaˈʃok
שפיר	ʃaˈpir
גְלִימַה	gliˈma
לְהִישַׁלֵחַ	lehiʃaˈleax
פְּלוּגָּה	pluˈga
לְנוֹפֵף	lenoˈfef
לְהִימַחוֹת	lehimaˈxot
לְהִיווָּעֵד	lehivaˈʔed
לְהִתְטַשְׁטֵשׁ	lehittaʃˈteʃ
פֵּרְגוֹלַה	ˈpergola
דַקוֹת	daˈkot
תחושה	txuˈʃa
עִיגּוּל	iˈgul
סמוך	saˈmux
טְיוּטַה	tjuˈta
מִמֵילַא	miˈmela
נדיבות	nediˈvut
לְמַקֵּר	lemaˈker
כַּר	ˈkar
לְהִתְמוֹדֵד	lehitmoˈded
לְהִיווַּסֵף	lehivaˈsef
לְהַקְדִּישׁ	lehakˈdiʃ
לְהִתְרוֹמֵם	lehitroˈmem
לְהִתְנַשֵּׁק	lehitnaˈʃek
ציפוי	tsiˈpuj
לְייַאֵשׁ	lejaˈʔeʃ
תַחְבּוּרַה	taxbuˈra
לְהַסִיעַ	lehaˈsia
יצירה	jetsiˈra
להיעתר	leheʔaˈter
חִינָּם	xiˈnam
לְעוּמַת	leʔuˈmat
לְהִזְדַּגֵּג	lehizdaˈgeg
לְהַחֲרִיב	lehaxaˈriv
מִסְפַּרַייִם	mispaˈrajim
לרצוח	lirtˈsoax
שַׂפַם	saˈfam
עקרות	akaˈrut
נְסִיבַּתִי	nesibaˈti
לְעַגֵל	leʔaˈgel
דּוֹפֶק	ˈdofek
בית	ˈbeit
תְּפִיחָה	tfiˈxa
קרח	ˈkerax
פֵּאַה	peˈʔa
לָתֵת	laˈtet
נשמה	neʃaˈma
התרסקות	hitrasˈkut
חוֹמֵר	ˈxomer
צֵאֵצַא	tseʔetˈsa
לִשְׂרוֹת	lisˈrot
חיוורון	xivaˈron
צוואה	tsvaˈʔa
ניצן	nitˈsan
לסבסד	lesavˈsed
לְהִשְׁתַּמֵּד	lehiʃtaˈmed
לְפַנִים	lefaˈnim
לְהִצְטַייֵּן	lehitstaˈjen
רמה	raˈma
לְהִיקַטֵף	lehikaˈtef
מִישֶׁהִי	ˈmiʃehi
סַייְעָן	sajˈʔan
מְדוּפְּלַם	medupˈlam
פַּחְדַן	paxˈdan
לִשְׂרוֹף	lisˈrof
להיחצב	lehexatˈsev
הִשְׁתַּכְלְלוּת	hiʃtaxleˈlut
עַצוּב	atˈsuv
התנהלות	hitnahaˈlut
לְהַזְקִיק	lehazˈkik
מִצְעַד	mitsˈʔad
קַצוּב	katˈsuv
נִיצוֹלֵת	nitˈsolet
נִפְסַד	nifˈsad
רְעִידַה	reʔiˈda
ועד	ˈvaʔad
תַצְפִּית	tatsˈpit
עֲבֵירָה	aveˈra
גִיל	ˈgil
הִתְחַמְּמוּת	hitxameˈmut
לגבול	ligˈbol
הִילַה	hiˈla
יוֹזְמַה	jozˈma
לְהַחַנוֹת	lehaxaˈnot
סיפור	siˈpur
לוּחַ	ˈluax
הַטִּפּוּל	hatiˈpul
חִידַלוֹן	xidaˈlon
לַחַלוֹף	laxaˈlof
פִּטְפּוּט	pitˈput
נעבר	naʔaˈvor
להכתיר	lehaxˈtir
להתלות	lehatˈlot
חוֹסֶן	ˈxosen
זַר	ˈzar
תִּיכְנוּת	tixˈnut
לְהִשְׁתַרֵשׁ	lehiʃtaˈreʃ
לֵהַבַה	lehaˈva
מְזוּוַּת	mezuˈvat
לְתַמְחֵר	letamˈxer
חַתוּלַה	xatuˈla
כֵּן	ˈken
להתקזז	lehitkaˈzez
חָמוּד	xaˈmud
לְשַׁרְבֵּב	leʃarˈbev
רַעֲיוֹן	raʔaˈjon
נֵכְדַה	nexˈda
לִפְקוֹחַ	lifˈkoax
לְצַווֵּחַ	letsaˈveax
חתלתולון	xataltuˈlon
לְהִידַחוֹת	lehidaˈxot
לְסַמֵא	lesaˈme
פיצוץ	pitˈsuts
ספציפי	spetˈsifi
לְהַרְבּוֹת	leharˈbot
טווס	taˈvas
מַשׁוֹב	maˈʃov
לְהִיקַלוֹת	lehikaˈlot
לְהִיתָּמֵךְ	lehitaˈmex
לְהֵיחָתֵךְ	lehexaˈtex
לְשַׁלֵּט	leʃaˈlet
לְהִתְרוֹפֵף	lehitroˈfef
מִדְבַּר	midˈbar
לְהַצִיג	lehatˈsig
אָב	ˈav
לְהִתְקַטֵל	lehitkaˈtel
תִּימְלוּל	timˈlul
למעט	lemaˈʔet
חוֹצֵב	xotˈsev
לוחם	loˈxem
שִׂרְטוּט	sirˈtut
לְאַדּוֹת	leʔaˈdot
בְּשָׂרִי	bsaˈri
לספון	lisˈpon
צורה	tsuˈra
עַקְרָב	akˈrav
לְהִיזַעֵם	lehizaˈʔem
