דִּ מְ י וֹן	di mˈ j on
לְ הִ ינַ זֵ ק	le hi naˈ ze k
נְ ח וֹ שֶׁ ת	neˈ x o ʃe t
כ ר י ך	kaˈ r i x
ל ז ב ל	le z aˈbe l
הת ח מ מו ת	hit xa me ˈmu t
לְ הִ יטָּ בֵ ל	le h itaˈ ve l
מַ רְ בָ ד	ma rˈ va d
שַׁע ְשׁ וּעַ	ʃaʔ aˈʃ ua
לְ הַ סְ ו וֹת	le ha sˈ v ot
סַ לַ ט	saˈ la t
עֵ בֵ ד	ˈe ve d
ל כ ב וד	l ixˈ b od
ט ב ו ח	ta ˈv u ax
קְ לָ ף	kˈ la f
ק פי ד ה	k fiˈ d a
צְ פַ רְ דֵ עַ	ts fa rˈ de a
מ פ נה	mi fˈ ne
צִי וּ ץ	tsiˈj u ts
חֶ לְ מ וֹן	xe lˈ m on
ע ָצ ָ ב	a tˈs a v
ל ס ו ב ב	le s o ˈve v
לְ הִ י שָּׁ נֵ ק	le h i ʃaˈ ne k
לְ נַ טְ רֵ ל	le na tˈ re l
ל וו ת ר	le vaˈ te r
לְ הַצְ הִ י ר	le hatsˈ h i r
לְ הַט ְרִי חַ	le hat ˈri ax
ש בר י ר	ʃ avˈr i r
מֵ תַ ח	ˈme ta x
הִ צְ טַ נּ ְ נ וּת	hi ts ta n eˈ n ut
א י ר וס י ן	e r u ˈs i n
שִׁי ע וּ ר	ʃiˈ ʔ u r
ל נצ ח	le natˈs eax
כִּי וּ וּ ן	kiˈ v u n
לְ הִ סְ תַ בֵּ ר	le hi s taˈ be r
ס ג ן	sˈ g an
צ ב ו ע	ts aˈ vu a
סְ דַ ר	sˈ da r
בְּ מַ קְ בִּי ל	be ma kˈ bi l
סְ חִ י פַה	s xi ˈ fa
לְ הִ סְ תַ בֵּ ךְ	le hi s taˈ be x
לִ זְ בּ וֹ חַ	li zˈ b o ax
ש ב ץ	ʃ aˈva ts
לְ שַׁ גֵּ עַ	le ʃaˈ ge a
ל נ פ ו ח	l inˈ p o ax
הַ סְ ו וַ אַה	ha s v aˈ ʔa
לְ הִ שְׁ תַ מֵ ד	le hi ʃ taˈ me d
ד וֹ חֵה	d oˈ xe
לִ תְ כּ וֹן	li tˈ k on
לְ הִ י ווּ ָ עֵ ץ	le hi v aˈ ʔ e ts
לַ כּ ְנֵ סֵ ת	laˈ k ne se t
לְ מַ גֵּ ר	le maˈ ge r
מ סר ו ן	mi sˈr o n
לְ רַ מֵ ז	le raˈ me z
עַ דִי ן	aˈ di n
לְ הֵי אָ כֵ ל	le he ʔaˈ xe l
הַ סַ קַה	ha saˈ ka
חֲ ב וּ רָ ה	xa v uˈ r a
חַ ד וּת	xaˈ d ut
לְ הִ סְ תַ בֵּ ן	le hi s taˈ be n
לְ הִ שְׁתַּ פְ עֵ ל	le hi ʃta fˈ ʔe l
גַ ר וּעַ	gaˈ r ua
ל ו לא ה	l u laˈʔ a
צָ ל וּ ל	tsaˈ l u l
אנ וכ י	an oˈx i
לְ הַ קְ צִי ב	le ha k tˈsi v
רַ ווּ י	raˈ vu j
רַ ן	ˈra n
ל ו חי ת	l uˈ xi t
לִ בְ דּ וֹת	li vˈ d ot
פּ ְ סִי ק	p ˈ si k
אַ לִּ י ם	aˈ l i m
חוֹד ְשׁ ַ י יִ ם	xod ˈʃ a j i m
ל ה מ ת יק	le h amˈ t ik
עַ רְ סָ ל	a rˈ sa l
לְ הִ יטָּ הֵ ר	le h itaˈ he r
לְ הִ תְ עַ דֵ ן	le hi tʔ aˈ de n
נ ר ת יק	na rˈ t ik
שִׁ י פּ וּ ר	ʃi ˈ p u r
ל ה כ ת י ב	le h axˈ t i v
יְ צִי אָ ה	je tsiˈ ʔ a
ע ר י כ ה	a r iˈ x a
א וֹ ט וֹ	ˈ o t o
ת כ ו נה	t x uˈ na
לְ סַ מֵ ם	le saˈ me m
מֵ רְ כַּ זִ י	me r kaˈ z i
ה צ ג ה	h atsaˈ g a
כַּ ף	ˈka f
לְ תַ רְ גֵ ם	le ta rˈ ge m
מ כ ח ו ל	mi xˈ x o l
ל ה ש ק יט	le h aʃˈ k it
לְ בַ דּ וֹת	le vaˈ d ot
רִי וּ וּ י	riˈ v u j
רָ ח וּ ץ	raˈ x u ts
ל ר פ א	le raˈ p e
לע ד כ ן	leʔ ad ˈke n
לְ הִ תְ אַ מֵ ת	le hi tʔ aˈ me t
לְ הַ א ֲ פִ י ר	le ha ʔ aˈ f i r
הַ קְ שַׁ בַה	ha k ʃaˈ va
בִּ רְ בּ וּ ר	bi rˈ b u r
לְ הָ זִ יז	le haˈ z iz
לְ הַלְ בִּי שׁ	le halˈ bi ʃ
תַ רְ בּ וּת	ta rˈ b ut
לְ הַ שִׁי ק	le haˈ ʃi k
ע ז וז	eˈ z uz
עוֹ דֶ ף	ˈo de f
ל הת בר ך	le hit baˈre x
כּ וֹ הַ ל	ˈ ko ha l
ל הת נ ופ ף	le hit n oˈfe f
א ֲבִ י בִי	a v iˈ vi
ל נ ש ו ף	l inˈ ʃ o f
נצ חי	nitsˈ xi
דִי וּ ן	diˈj u n
לַהַ ג וֹת	lahaˈ g ot
בֵּ נְ זִ י ן	be nˈ z i n
לִ רְ ג וֹ ז	li rˈ g o z
לְ הַ דִּ י חַ	le haˈ d i ax
גַּ ן	ˈga n
דַּ פְ דּ ֶ פֶ ת	da fˈ d e fe t
פ ו ל יט יק ה	p oˈ l it ik a
הת ק ה ל ות	hit k a haˈl ut
שְׁ מִי נִי	ʃ miˈ ni
א י ב ר	e i ˈva r
לְ הִ יסַ פ וֹת	le h isaˈ f ot
ש מי ר ה	ʃ miˈ r a
תּ ֵ י כֶ ף	t e ˈ xe f
מ ז כי ר	ma zˈ ki r
לְ הַ קְ צִי ף	le ha k tˈsi f
לְ אַ מֵּ ן	le ʔaˈ me n
ע יס ו י	i ˈs u j
ט כ נ יק ה	ˈte x n ik a
לְ טַ נֵּ ף	le taˈ ne f
נֵ שֵׁ ר	ˈne ʃe r
לְ הִ צְ טַ לֵ ם	le hi ts taˈ le m
בַּ נַ נַה	baˈ na na
פי ס ו ל	piˈ s u l
ל הת כ וו ץ	le hit kaˈ ve ts
מי צ ג	me tˈsa g
פ צ צ ה	p ts atˈs a
לְ פַ י יֵ ס	le faˈ j e s
סִ פְ נָ ה	si fˈ n a
ל הת ע צ ל	le hitʔ a tˈse l
הַ עַ בַ רַה	ha ʔa vaˈ ra
הֶ סְ דֵּ ר	he sˈ de r
דּ ְלִי ק וּת	d liˈ k ut
מִ שְׁ מֵ רֵ ת	mi ʃˈ me re t
לְ חַ תּ ֵ ךְ	le xaˈ t e x
מַ כּ וֹ לֶ ת	maˈ k o le t
הַ כַּ לְ כַּ לַה	ha ka l kaˈ la
לְ אַ בְ זֵ ר	le ʔa vˈ ze r
ל ר ב ו ץ	l irˈ b o ts
שְׁ נִי נָ ה	ʃ niˈ n a
מַ תִי חַ	maˈ ti ax
ר י פר ו ף	r i fˈr u f
הַ צָּ גָ ה	ha tsaˈ g a
דּ וֹ חַ ק	ˈd o xa k
לְ הַ פְ לִי ט	le ha fˈ li t
ל פ ת ו ח	l ifˈ t o ax
מִ שְׁ גָּ ל	mi ʃˈ ga l
ל ה ק ר י ש	le h akˈ r i ʃ
פָּ לִי ט	paˈ li t
הִ זְ דַ מְ נ וּת	hi z da mˈ n ut
מְ שַׁ ווּ ֵ עַ	me ʃa ˈv e a
צָ פ וֹ נָ ה	tsaˈ f o n a
לִ דְ מ וֹת	li dˈ m ot
לְ הִ ת ְמַ תֵ חַ	le hi t maˈ te ax
לְ הִ תְפַּ צֵּ חַ	le h itpa tˈse ax
לַ מַה	ˈla ma
לְ הִ י מָּ תֵ חַ	le h i maˈ te ax
שַׁ בְּ תַ א י	ʃa bˈ t a j
ל ה יש ח ט	le h iʃ aˈxe t
שְׁ כ וּ נָ ה	ʃ x uˈ n a
ל ג מ ג ם	le g amˈ ge m
ח ד ר	xa ˈda r
לְ מַ לֵא	le maˈ le
לִי ת וֹ ם	liˈ t o m
ג ופ ר ית	g ofˈ r it
תּ ְ אֵ נָ ה	t e ʔeˈ n a
לְ הִ ית וֹ סֵ ף	le h it oˈ se f
הת ה וו ת	hit h aˈvu t
ל ק ח ת	la ˈka xa t
לְ עַ מְ עֵ ם	le ʔa mˈ ʔe m
ג ן	ˈga n
שִׂ י חַה	s iˈ xa
מ ש ט ר	mi ʃˈ ta r
תּ ְקִ י עָ ה	t k iˈ ʔ a
עַ שׂ וּ	aˈ s u
בְּ דִי ע ֲבַ ד	be di ʔ aˈva d
א יג ו ד	iˈ g u d
לְ אַ רְ גֵּ ן	le ʔa rˈ ge n
לְ הִ ת ְקַ שֵׁ ר	le hi t kaˈ ʃe r
ת ֹ כְ נִי וֹת	t o x niˈj ot
מָ ט וֹ ס	maˈ t o s
כַּ ע וּ ס	kaˈ ʔ u s
קִ דְ מַה	ki dˈ ma
מ פ נ י	mi p ˈne i
רַ קָּ ה	raˈ k a
מ וּ בַ ן	m uˈ va n
ל ה וא י ל	le h oˈʔ i l
לִ זְ ל וֹ ג	li zˈ l o g
לְ הַ זְ עִי ק	le ha zˈ ʔi k
ל ב ל ו ם	l ivˈ l o m
אַ רְ גָּ ז	a rˈ ga z
תִי קִי יַה	ti kiˈj a
שַׁ בַ ץ	ʃaˈ va ts
ד ֻ גְ מַה	d u gˈ ma
לַ חְ ת וֹ ךְ	la xˈ t o x
ל פ ל ו ת	l ifˈ l o t
ל ח פ ות	le x aˈpo t
לְ סַ גֵ ף	le saˈ ge f
הָ לְ אָ ה	ˈha l ʔ a
לְ קָ רֵ ר	le kaˈ re r
רִ פְ י וֹן	ri fˈ j on
מ וֹ א ֹ גַ ד	m o ʔ o ˈga d
צְ רִי חַ	tsˈ ri ax
לְ הִ תְ פָּ רֵ שׁ	le h it paˈ re ʃ
עַ מֵ ל	aˈ me l
ל ה צע י ר	le h atsˈʔ i r
לְ הִ תְ עַ נֵ ן	le hi tʔ aˈ ne n
ק צו ב ה	k tsuˈ b a
לְ עַ שּׂ וֹת	le ʔaˈ s ot
ל נ ג ר	le na ˈge r
מִ גְ וו ַ ן	mi g ˈv a n
ג א ה	ge ˈʔ e
ט ב ע	ˈte v a
עָ סִי ס	aˈ si s
ל ה יח ט ב	le h exaˈ te v
מ מ חטה	mi m xaˈta
לְ הִ ת ְבַּ שֵׂ ר	le hi t baˈ se r
ל יצ ו ק	l itˈs o k
הֵ בְ דֵ ל	he vˈ de l
בָּ כִ י ר	baˈ x i r
תַ מְ ל וּגִ י ם	ta m l uˈg i m
זַה וֹ ב	zaˈh o v
פִּי נ וּ ק	piˈ n u k
אִי לַ ן	iˈ la n
פֶּ תַ ע	ˈpe t a
לַהַ מ וֹת	lahaˈ m ot
א ור ן	ˈo re n
לָ ת וּ ר	laˈ t u r
סִי כּ וּ ם	siˈ k u m
ל ה ס מי ך	le h asˈ mi x
לְ הִ ת ְרַ פֵּ ט	le hi t raˈ pe t
ל ר ס ן	le raˈ se n
רָ ד וּ ד	raˈ d u d
לָ ז וּ ב	laˈ z u v
ל ח נ ו ק	la x aˈn o k
א ו ֹקְ י יָ נ וֹ ס	o k ˈ j a n o s
אָ ר וֹן	aˈ r on
הַ ע ֲ רָ כָ ה	ha ʔ a raˈ x a
דּ וֹ חֶ ה	d oˈ x e
טָ מֵא	taˈ me
לְ קַ י יֵ ם	le kaˈ j e m
שְׁ ק וּ פִ ית	ʃ k uˈ f it
זי נ ו ק	ziˈ n u k
ה י פר דו ת	h i parˈ du t
ח ו ב ה	x oˈ v a
מְ פַ גֵ ר	me faˈ ge r
רַ ק	ˈra k
לַ חַ ל וֹ ף	la xaˈ l o f
לְ גַ בּ וֹת	le gaˈ b ot
לְ הִ י פָּ רֵ ט	le h i paˈ re t
בְּ קָ ר וֹ ב	be kaˈ r o v
ז נ ות	zˈ n ut
א וֹד ֶ ם	ˈ od e m
אַ קְ רָ אִי	a k raˈ ʔi
הִ תְפַּ תּ ְ ח וּת	h itpa t ˈ x ut
ל ש ג וג	l iʃˈ g og
לְ שַׁ כְ שֵׁ ךְ	le ʃa xˈ ʃe x
נ ש ף	ˈne ʃe f
אַ חַ ר וֹן	a xaˈ r on
נִ ה ְ יַה	ni h ˈ ja
פּ ְ עַ לְ תַ ן	p e ʔa lˈ ta n
כּ ְ בַ ר	k ˈ va r
בִּ זְ כ וּת	bi zˈ x ut
הת נ ד ב ות	hit na d ˈv ut
לַע ֲ ב וֹת	laʔ aˈ v ot
הַ מְ צַ אַה	ha m tsaˈ ʔa
לְ הֵי רָ תֵ ם	le he raˈ te m
ל ה ינ ג ע	le hi na ˈg a
ל ס פ וד	l isˈ p od
כ ר ג ע	kaˈ re g a
כ דור י י ד	k adur ˈj a d
ט י י ס	ta ˈj a s
רא שי ת	reˈ ʃi t
בַּ שַׁ נִי ם	ba ʃaˈ ni m
נ רא ה	n irˈʔ e
טע נ ה	taʔ aˈn a
ל ה נ חי ל	le h anˈ xi l
רֵ פֵ שׁ	ˈre fe ʃ
חֲ זִ י יָּ ה	xa zi ˈ j a
הַלְ שָׁ נָ ה	hal ʃaˈ n a
ל ה יח ב א	le h exaˈ v e
נַ נָּ ס	naˈ na s
עַ תָּ ה	aˈ t a
לָ סִי חַ	laˈ si ax
ל מ נ ו ת	le m aˈn o t
לְ הִ תְ נַ גֵ ב	le h it naˈ ge v
לְ פַ י יֵּ ס	le fa ˈ je s
דַ י יַ ל	daˈ j a l
ע וּ גָ ה	u ˈ g a
תֵ י אַ טְ ר וֹן	te ʔ a tˈ r on
ק פי ץ	kˈ fi ts
טֶ כְ נִי קָ ה	ˈte x ni k a
מ ק ל	ma ˈke l
נ י כ ור	n iˈ k ur
ת י ע וד י	t i ʔ uˈd i
נִי ג וּ ד	niˈ g u d
לַע ֲ ג וֹ ב	laʔ aˈ g o v
ל נ פ וש	l inˈ p oʃ
צ ר ח ה	ts raˈ x a
לְ הִ י פָּ קֵ ד	le h i paˈ ke d
ל מ שכ ן	le ma ʃˈke n
לְ הַ גֵּ ר	le haˈ ge r
ה וֹ וֶ ה	h oˈ v e
שְׁ רַ בְ רַ ב	ʃ ra vˈ ra v
מִ רְ צ ֶ פֶ ת	mi r tˈs e fe t
חט ט	xaˈta t
מִ זְ מַ ן	mi zˈ ma n
זַ מַ ר	zaˈ ma r
קֶ שֶׁ ת	ˈke ʃe t
לְ אַ פְ שֵׁ ר	le ʔa fˈ ʃe r
פַּ חְ מֵ י מַה	pa x me ˈ ma
גָּ ל וּ י	gaˈ l u j
הִ שְׁתַּ דּ ְ ל וּת	hi ʃta d ˈ l ut
חֲ רָ טָ ה	xa raˈ t a
לְ הַ נְ גִ י שׁ	le ha n ˈg i ʃ
ל ה ר ע י ם	le h arˈ ʔ i m
ל ה י אנ ח	le h e ʔaˈne ax
ה וֹ בָ לָ ה	h o vaˈ l a
שַׁ ר וּ י	ʃaˈ r u j
ל ה פי ג	le h aˈfi g
לַ שִׂ י חַ	laˈ s i ax
אַ ו וִ י ר	a ˈ v i r
מַ מָּ שִׁ י	ma maˈ ʃ i
ת פי ר ה	t fiˈ r a
בִּי אַה	biˈ ʔa
עַ ר וּ ם	aˈ r u m
לְ פַ שְׁ פֵּ שׁ	le fa ʃˈ pe ʃ
לְ הִ תְפַּ לֵא	le hi tpaˈ le
ת כל ת	t ˈxele t
ט ל	ˈta l
פּ ְרִי שׁ וּת	p riˈ ʃ ut
ר וֹ חַ ב	ˈr o xa v
לְ לַ קּ ֵ ט	le laˈ k e t
לְ שַׂ חֵ ק	le saˈ xe k
סְ תַ גְּ לָ ן	s ta g ˈla n
ל ח ד ד	le xa ˈde d
מָ שִׁ י חַ	maˈ ʃ i ax
ב וודא י	b evaˈda j
תִּ י רְ גּ וּ ם	ti r ˈ g u m
ל התאח ד	le hitʔaˈxe d
יְ פֵה פֵה	je feˈ fe
ל מ ס ו ת	le ma ˈs o t
לְ הַסִּ י חַ	le haˈs i ax
פַּ ח וֹת	paˈ x ot
ל ט פ ו ח	l itˈ p o ax
יֶ רֶ ק	ˈje re k
צָ נ וּעַ	tsaˈ n ua
לְ הִ י ווּ ָ סֵ ד	le h i va ˈ se d
לִ טְ ח וֹן	li tˈ x on
ל ה ית ח ב	le hi ta ˈxe v
ח מי ם	xa ˈmi m
לא ב ן	le ʔaˈbe n
לְ פַ בְּ רֵ ק	le fa bˈ re k
ל ר ח ר ח	le r axˈ re ax
הַ קְ דָּ מָ ה	ha k daˈ m a
לְ הִ שְׁ תַי יֵ ךְ	le hi ʃ taˈj e x
ק וֹ פִ י	k oˈ f i
כ ר וז	kˈ r uz
ד ל י פ ה	d l iˈ f a
סְ פַ רַ ד	s faˈ ra d
ל ד ח וס	l idˈ x os
לְ סַ רֵ ב	le saˈ re v
לְ הָ נִי עַ	le haˈ ni a
לְ קַ רְ קֵ עַ	le ka rˈ ke a
תַ בְ לִי ן	ta vˈ li n
לִ שְׁ ז וֹר	li ʃˈ z or
ר ז	ˈra z
לְ ה וֹר וֹת	le h oˈr ot
כּ ְלַ ל וּת	k laˈ l ut
בִּ טְ נַה	bi tˈ na
ג ו ל ם	ˈg o le m
לְ הַ ע ֲ לִי ל	le ha ʔ aˈ li l
לְ רַ סֵ ק	le raˈ se k
לְ הִ שְׁ תַ ט וֹת	le hi ʃ taˈ t ot
כִּי ּ וֹר	ki ˈj or
שְׁ מָ מָ ה	ʃ maˈ m a
יֶ קֶ ב	ˈje ke v
לַעַ ג	ˈlaʔa g
שִׁי ק וּ ף	ʃiˈ k u f
ט וו ס	ta ˈva s
ע צי ר	a tˈsi r
קֵ רַ ח	ˈke ra x
כּ ְבִי שָׁ ה	k viˈ ʃ a
לְ הַ א ֲ פִ י ל	le ha ʔ aˈ f i l
יַ מִּ י	jaˈ m i
פִּי ט	ˈpi t
ח זי י ה	xa ziˈ j a
מ ר ו ב ה	me r uˈ b a
לְ סַ מְ רֵ ר	le sa mˈ re r
לְ זַ מֵ ר	le zaˈ me r
ח ב ור ה	xa v uˈr a
לִ קְ ט וֹעַ	li kˈ t oa
בִּ גְ לַ ל	bi gˈ la l
חַ שִׁי ב וּת	xa ʃiˈ v ut
שׁ וּתַ ף	ʃ uˈta f
קִי צּ וּ ץ	ki tˈs u ts
גֵ רֵ ב	ˈge re v
ט וש	ˈt uʃ
ל ה י ר ג ם	le h e raˈ ge m
לְ הַ פֵ ר	le haˈ fe r
מה מ ם	me haˈme m
מ וּצְ דָּ ק	m utsˈ da k
לְ הַ א ֲ חִ יד	le ha ʔ aˈ x id
לְ חַ מֵּ ם	le xaˈ me m
שַׂ כִ י ר	saˈ x i r
מִ קְ צָ ת	mi k tˈsa t
הִ צְ טַ לְ ב וּת	hi ts ta lˈ v ut
חִ יּ וּ ג	xiˈ j u g
ה ש תע בד ות	hi ʃ ta ʔabˈd ut
ל ה כ נ יס	le h axˈ n is
לַ חֲ ז וֹת	la xaˈ z ot
לְ הַ רְ עִי ם	le ha rˈ ʔi m
לְ הִ יד ָּ חֵ ק	le h id aˈ xe k
זַ ע ֲ קָ ה	za ʔ aˈ k a
ל ה נ שי ר	le h anˈ ʃi r
גֵ י ר וּ י	ge ˈ r u j
לֶ א ֱ ה וֹד	le ʔ eˈ h od
הַלְ וו ָ יָ ה	hal va ˈ j a
נה ו ג	naˈh u g
לְ הִ ת ְבַּ לֵ ט	le hi t baˈ le t
מַ דַע	maˈ da
לְ פַ רְ פֵּ ר	le fa rˈ pe r
עִי שׁ וּ ן	iˈ ʃ u n
מְ שׁ וּ פָּ ע	me ʃ u ˈp a
נְ ת וּ נִי ם	ne t uˈ ni m
כַּ ר וֹ ז	kaˈ r o z
לְ הַ עִי ד	le haˈ ʔi d
לְ הִ יזָּ רֵ ק	le h izaˈ re k
שַׂ ר וּ ף	saˈ r u f
ח וּ פָּ ה	x u ˈp a
תַ בְ נִי ת	ta vˈ ni t
נִ כְ בַּ ד	ni xˈ ba d
אִ יּ וּ ר	iˈ j u r
לְ שַׁ הֵ ק	le ʃaˈ he k
ד וֹ לְ פִ י ן	d o lˈ f i n
מְ ז וּ כַּ ךְ	me z uˈ ka x
כל י ה	kilˈ j a
ל ז ר ו ח	l izˈ r o ax
בִּ לְ תִי	bi lˈ ti
מַ רְ גֵּ מָ ה	ma r geˈ m a
ל ה רצ ו ת	le h artˈs o t
פִּ לְ פֵּ ל	pi lˈ pe l
תַ ק וּעַ	taˈ k ua
תּ וֹ לָ דָ ה	t o laˈ d a
לְ סַ בְ סֵ ד	le sa vˈ se d
פּ ְרַ טִי	p raˈ ti
הֵ פְ רֵ שׁ	he fˈ re ʃ
ח פי סה	xa fiˈ sa
לְ הִ ימַ שֵׁ ל	le hi maˈ ʃe l
סִ רְ פַּ ד	si rˈ pa d
ל ה יג ז ל	le hi g aˈze l
מַה ְ פֵּ כַה	ma h pe ˈxa
לַעַ כ וֹר	laʔaˈ x or
לִ טְ בּ וֹ חַ	li tˈ b o ax
ר ת יח ה	re t iˈx a
תה י ל ה	tehi ˈ l a
א ז ר ח	e zˈ r ax
כָּ ווּ י	kaˈ vu j
ה יצ ע	h etˈse a
ל ה ינ ז ק	le hi na ˈze k
הִ תְ קַ רְ ר וּת	h it ka reˈ r ut
לְ רַ מֵּ ז	le raˈ me z
ר ב ע	ˈre v a
לִ סְ ת וֹ ם	li sˈ t o m
זַ כ וּ י	zaˈ x u j
הַ דַ חַה	ha daˈ xa
סִ פְ ר וּת	si fˈ r ut
לְ הַ שְׁ קִי ף	le ha ʃˈ ki f
לִ כְ תּ וֹת	li xˈ t ot
תַ חְ בִּי ב	ta xˈ bi v
הִ תְ עַ לּ ְ ל וּת	hi tʔ a l eˈ l ut
רַ קַ ב	raˈ ka v
שַׁ ק וּ ף	ʃaˈ k u f
עֵ סֵ ק	ˈe se k
לְ הַ ע ֲ בִי ד	le ha ʔ aˈ vi d
לְ מַ ח וֹת	le maˈ x ot
לְ שַׁ לֵ ט	le ʃaˈ le t
סֵ דֶ ר	ˈse de r
ל ר ג ל	le raˈ ge l
ס וֹ לְ לַה	s o leˈ la
ס וֹ ב ְלַ נ וּת	s o v laˈ n ut
לְ פַ שּׁ ֵ ר	le faˈ ʃ e r
נ ק ו דה	n e k uˈda
כ ו נ ן	k oˈ na n
לְ הַ קְ נ וֹת	le ha kˈ n ot
אַ תֵ ם	aˈ te m
אֵ י בַה	e iˈ va
יַ בֵּ שֵׁ ת	jaˈ be ʃe t
תַ סְ רִי ט	ta sˈ ri t
מִ שְׁ פָּ חָ ה	mi ʃ paˈ x a
רַע ַ ל	ˈraʔ a l
לְ הִ ינַ כֵ ר	le hi naˈ xe r
שַׁע וֹן	ʃaˈʔ on
לְ רַ טּ ֵ ט	le ra ˈt e t
אַ זִ יק	aˈ z ik
לְ הִ שְׁ תַ לֵ ם	le hi ʃ taˈ le m
ל הת ע י י ר	le hitʔ aˈ j e r
צַ ו	tˈsa v
לְ הַ שְׁ חִ יז	le ha ʃˈ x iz
צי רצ ור	tsi rtˈs ur
מ וּ דְ אָ ג	m u dˈ ʔa g
לַ חַ ס וֹ ךְ	la xaˈ s o x
ת וֹ בַ נַה	t o vaˈ na
טִי פָּ ה	ti ˈp a
ע ל ו ן	aˈ l o n
לִ גְ דּ וֹ ם	li gˈ d o m
צְ לָ ב	tsˈ la v
ח מל ה	x emˈl a
סְ גַ ן	sˈ ga n
לַ מ וּת	laˈ m ut
לא פ ש ר	leʔ afˈ ʃe r
גִ מְ לַא י	gi mˈ la j
נִי נָ ה	niˈ n a
ל י ל ה	ˈla j l a
פּ ְרִי חַה	p riˈ xa
ח מו ד	xa ˈmu d
כָּ רֵ ס	kaˈ re s
ה יק ף	h eˈke f
די ב ו ב	diˈ b u v
סְ נָ אִי	s naˈ ʔi
ל ג מ ר	le g aˈme r
ק ס ד ה	k asˈ d a
ל ה יש ו ם	le hi ˈʃ o m
ל הת ר ט ב	le hit raˈ te v
מְ אַ לֵ ף	me ʔaˈ le f
מַ ס וּ ר	maˈ s u r
עֶ שֶׂ ר	ˈe se r
ק ץ	ˈke ts
מ ע ב ור ת	ma ʔ aˈ bore t
הַחְ לָ פָ ה	hax laˈ f a
הַ כַא	haˈ xa
ל ח כ ך	le xa ˈke x
ל כ נ ו ת	le x aˈn o t
עִי צּ וּ ם	i tˈs u m
ל ה פ סי ד	le h afˈ si d
ל ק ש ת	le kaˈ ʃe t
לְ הִ שְׁ תַ מֵ עַ	le hi ʃ taˈ me a
ל ח ל ו ף	la xa ˈl o f
לְ הִ שְׁ ת וֹ קֵ ק	le hi ʃ t oˈ ke k
לַע ֲ י וֹן	laʔ aˈ j on
לְ שַׁ קּ ֵ ר	le ʃaˈ k e r
לְ עַ נְ י יֵ ן	le ʔa nˈ j e n
פָּ ג וּ ם	paˈ g u m
ל הת פ ל א	le hit pa ˈl e
ח ג	ˈxa g
אַ זְ כַּ רַה	a z kaˈ ra
הַ ר	ˈha r
מ ז ל ז ל	me z alˈ ze l
לִ מְ שׁ וֹ ל	li mˈ ʃ o l
לְ בַ טֵ ל	le vaˈ te l
ל ח נ ו ך	la x aˈn o x
לְ סַ מֵ ס	le saˈ me s
שָׁ ח וּ ט	ʃaˈ x u t
שְׁ ב וּעַ י יִ ם	ʃ v uˈʔa j i m
א פי	aˈ pi
גִ י חַה	gi ˈ xa
לְ הִ תְ א וֹ נֵ ן	le hi tʔ o ˈ ne n
שַׁ ב ְרִי רִי	ʃa v riˈ ri
לְ הַ שְׁ מִי עַ	le ha ʃˈ mi a
מֵ חְ ו וַה	me xˈ v a
ל ה ג זי ם	le h agˈ zi m
נָ ת וּ ן	naˈ t u n
קֵה ֵה	ke ˈhe
מַ כָּ ה	maˈ k a
לְ הֵי חַ רֵ ת	le he xaˈ re t
הַ סָּ עָ ה	ha saˈ ʔ a
ל ה י ע ש ות	l e h e ʔaˈso t
ש ן	ˈʃe n
יָ עֵ ן	jaˈ ʔe n
נ ור ה	n uˈr a
שִׁי ת וּ ק	ʃiˈ t u k
גּ וּ זִ יָּ ה	g u ziˈ j a
חַ צַא ִי ת	xa tsaˈ ʔi t
מח ב ט	max ˈbe t
לְ כַּ מֵ ת	le kaˈ me t
שְׁ כ וֹ ל	ʃˈ x o l
אָ פֵ ל	aˈ fe l
אַ ס וֹן	aˈ s on
לְ הַ סְ מִי ק	le ha sˈ mi k
ל ה י כ וו ת	le h i kaˈ vo t
ש ו נה	ʃ oˈ ne
ל ס מ ר ר	le sa m ˈre r
בר ך	ˈbere x
הַ סְ פָּ קָ ה	ha s paˈ k a
ש מ שי י ה	ʃi m ʃiˈ j a
בָּ סִי ס	baˈ si s
לְ הֵי חָ רֵ ב	le he xaˈ re v
לְ דָ רֵ ג	le daˈ re g
כּ וֹ בַע	k oˈ va
תִ כְ ת וֹ בֵ ת	ti xˈ t o ve t
ש ח צ ן	ʃ ax tˈsa n
אנ ט יש מי	an t iˈʃe mi
הַט ְרַ דַה	hat raˈ da
מַ גֵ בֵ ת	maˈ ge ve t
שֵׁ מֵ ן	ˈʃe me n
לְ צַ חֵ ק	le tsaˈ xe k
ר וֹ טֶ ב	ˈr o te v
מִי לִּ י ם	miˈ l i m
לְ הִ ת ְחַ לּ וֹת	le hi t xaˈ l ot
מְ שׁ וּ נֶּ ה	me ʃ uˈ n e
לְ הַ בְ לִי ט	le ha vˈ li t
ו ְ זֹ א ת	v e ˈz o t
תא נ י י ה	taʔ an iˈ j a
לְ הַ ע ֲ רִי ם	le ha ʔ aˈ ri m
הָ א וֹ צָ ר	ha o ˈ tsa r
אַ ט	ˈa t
ל יט וש	l iˈt uʃ
ע צי ץ	a tˈsi ts
רֵגֵ שׁ	ˈrege ʃ
לַע ֲ ט וֹר	laʔ aˈ t or
ל שי ם	l aˈsi m
